,topic,top_terms
0,0,"['inclusive', 'outdated', 'modern', 'changed', 'language', 'make', 'replaced', 'change', 'use', 'women', 'seen', 'identity', 'acknowledges', 'friend', 'even', 'author', 'officers', 'comma', 'nonbinary', 'minor', 'sexist', 'applies', 'clarified', 'made', 'removed', 'punctuation', 'firefighters', 'binary', 'clarity', 'accessible']"
1,1,"['descriptive', 'weather', 'bit', 'engaging', 'concise', 'language', 'sense', 'makes', 'experience', 'way', 'expertise', 'informal', 'replaced', 'whereas', 'sharing', 'clear', 'somewhat', 'saying', 'could', 'common', 'conversational', 'suggests', 'express', 'emphasizes', 'vivid', 'removed', 'depth', 'generic', 'still', 'redundant']"
2,2,"['used', 'instead', 'professional', 'commonly', 'conveys', 'word', 'refer', 'better', 'active', 'dynamic', 'respectful', 'correct', 'makes', 'case', 'often', 'implying', 'people', 'imply', 'contexts', 'valid', 'choice', 'colloquialism', 'desire', 'english', 'changing', 'precision', 'within', 'natural', 'explicitly', 'anyone']"
3,3,"['added', 'also', 'provides', 'create', 'writer', 'tone', 'men', 'description', 'trusted', 'adding', 'touch', 'background', 'however', 'start', 'understand', 'aim', 'noun', 'two', 'clauses', 'transition', 'understanding', 'purpose', 'want', 'specificity', 'credibility', 'word', 'importance', 'compared', 'emphasize', 'add']"
4,4,"['accurate', 'profession', 'friend', 'uses', 'neutral', 'person', 'context', 'studies', 'someone', 'forecasts', 'job', 'removed', 'describe', 'simplified', 'idea', 'mentioned', 'use', 'provide', 'presenter', 'titles', 'patterns', 'subject', 'especially', 'potential', 'would', 'starts', 'important', 'part', 'since', 'typically']"
5,5,"['title', 'changed', 'gender', 'corrected', 'field', 'helps', 'preferred', 'friend', 'suitable', 'changes', 'male', 'clarify', 'specify', 'atmosphere', 'terminology', 'meteorologists', 'identity', 'maintain', 'accurately', 'impressive', 'countries', 'scientist', 'word', 'standardized', 'correction', 'regardless', 'consistency', 'writing', 'pronouns', 'inclusivity']"
6,6,"['original', 'precise', 'may', 'general', 'female', 'simply', 'career', 'associated', 'individuals', 'improved', 'law', 'enforcement', 'work', 'unnecessary', 'focus', 'essential', 'interesting', 'necessary', 'specifically', 'blessing', 'awkward', 'fit', 'phrases', 'relevant', 'included', 'action', 'first', 'emphasizing', 'today', 'f']"
7,7,"['might', 'officer', 'personal', 'police', 'terms', 'becoming', 'verb', 'reader', 'dream', 'considered', 'roles', 'separate', 'establish', 'something', 'rest', 'detail', 'serving', 'negative', 'clarifies', 'listing', 'paramedic', 'colon', 'clarity', 'wants', 'community', 'respect', 'alternatively', 'fulfilling', 'clearly', 'related']"
8,8,"['specific', 'using', 'revised', 'professional', 'instead', 'role', 'change', 'speaker', 'colloquial', 'adds', 'like', 'rather', 'rephrased', 'accurate', 'making', 'emphasized', 'passion', 'overall', 'positive', 'refers', 'avoids', 'encompasses', 'perceived', 'clearer', 'convey', 'clarity', 'focuses', 'stating', 'aims', 'starting']"
9,9,"['formal', 'implies', 'widely', 'technical', 'accepted', 'page', 'common', 'forecaster', 'outdoors', 'flow', 'structure', 'good', 'often', 'enthusiast', 'lifelong', 'fitting', 'polished', 'goal', 'traditional', 'direct', 'improve', 'time', 'opportunity', 'clause', 'sounds', 'slightly', 'spending', 'list', 'recognized', 'possessive']"
