role_noun,role_noun_set,sentence,sentence_format,task_wording,prompt_text,model,man,woman,person,feminine_score,genderedness_score
businessperson,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",simple,"Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change. I am a",llama-3.1-8B,-7.065148830413820,-4.393273830413820,-5.033898830413820,0.38340999982771600,0.6947731807746310
businessperson,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.,simple,The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete. I am a,llama-3.1-8B,-5.916208267211910,-6.408395767211910,-4.541208267211910,0.5199676800416980,0.7307447642606880
businessperson,"['businessperson', 'businessman', 'businesswoman']","If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur.","If you become our client, you will get the benefit of my thoughts as a [ROLE NOUN] and entrepreneur.",simple,"If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur. I am a",llama-3.1-8B,-5.847137451171880,-7.128387451171880,-4.761199951171880,0.5493717984298490,0.7315626199034060
businessperson,"['businessperson', 'businessman', 'businesswoman']","I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships.","I am a skilled presenter, negotiator, and [ROLE NOUN], and adept at forging solid relationships.",simple,"I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships. I am a",llama-3.1-8B,-6.124189376831060,-7.022626876831060,-5.030439376831060,0.5341693944246670,0.7232563881429790
businessperson,"['businessperson', 'businessman', 'businesswoman']",I believe that a reputation as an honest and reliable businessperson is the recipe for success.,I believe that a reputation as an honest and reliable [ROLE NOUN] is the recipe for success.,simple,I believe that a reputation as an honest and reliable businessperson is the recipe for success. I am a,llama-3.1-8B,-4.029022216796880,-6.575897216796880,-4.224334716796880,0.6200798844323200,0.7151350517055100
businessperson,"['businessperson', 'businessman', 'businesswoman']","As a businessperson, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares.","As a [ROLE NOUN], we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares.",simple,"As a businessperson, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares. I am a",llama-3.1-8B,-7.393142700195310,-6.4087677001953100,-4.3540802001953100,0.4643391758298860,0.7601849276098000
businessperson,"['businessperson', 'businessman', 'businesswoman']",Charity is one of the big reasons I work so hard to be the best investor and businessperson possible.,Charity is one of the big reasons I work so hard to be the best investor and [ROLE NOUN] possible.,simple,Charity is one of the big reasons I work so hard to be the best investor and businessperson possible. I am a,llama-3.1-8B,-6.002795219421390,-7.901232719421390,-5.354357719421390,0.568269335632463,0.7219726609263470
businessperson,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.,simple,The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete. I am a,llama-3.1-8B,-5.916208267211910,-6.408395767211910,-4.541208267211910,0.5199676800416980,0.7307447642606880
businessperson,"['businessperson', 'businessman', 'businesswoman']","Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures.","Still pursuing the challenge of being an artist and [ROLE NOUN], I continue to stretch my creative side for new adventures.",simple,"Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures. I am a",llama-3.1-8B,-7.383485794067380,-6.102235794067380,-5.820985794067380,0.4524960532654300,0.6984992998115540
businessperson,"['businessperson', 'businessman', 'businesswoman']",I am a businessperson.,I am a [ROLE NOUN].,simple,I am a businessperson. I am a,llama-3.1-8B,-4.97232723236084,-4.48013973236084,-4.83170223236084,0.4739651298525070,0.6617442592777680
businessperson,"['businessperson', 'businessman', 'businesswoman']",I was the only expatriate American businessperson in the country and with no television and limited radio; it was quite a learning experience.,I was the only expatriate American [ROLE NOUN] in the country and with no television and limited radio; it was quite a learning experience.,simple,I was the only expatriate American businessperson in the country and with no television and limited radio; it was quite a learning experience. I am a,llama-3.1-8B,-5.653287887573240,-5.903287887573240,-5.286100387573240,0.5108163527356280,0.6861484281652510
businessperson,"['businessperson', 'businessman', 'businesswoman']","I am a businessperson, more like a scholar.","I am a [ROLE NOUN], more like a scholar.",simple,"I am a businessperson, more like a scholar. I am a",llama-3.1-8B,-4.278838157653810,-5.575713157653810,-3.6694631576538100,0.5658008141875260,0.7286705685660000
businessperson,"['businessperson', 'businessman', 'businesswoman']",A businessperson has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.,A [ROLE NOUN] has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.,simple,A businessperson has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public. I am a,llama-3.1-8B,-5.331823348999020,-6.105260848999020,-4.113073348999020,0.5338127046461450,0.7354963551611530
businessperson,"['businessperson', 'businessman', 'businesswoman']","I am passionate about people, and as a businessperson I show my passion by giving my customers exceptional service.","I am passionate about people, and as a [ROLE NOUN] I show my passion by giving my customers exceptional service.",simple,"I am passionate about people, and as a businessperson I show my passion by giving my customers exceptional service. I am a",llama-3.1-8B,-5.789608001708980,-5.945858001708980,-4.648983001708980,0.5066571706634610,0.7162563721090500
businessperson,"['businessperson', 'businessman', 'businesswoman']","I am a businessperson, entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant.","I am a [ROLE NOUN], entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant.",simple,"I am a businessperson, entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant. I am a",llama-3.1-8B,-4.7123565673828100,-6.2357940673828100,-4.7514190673828100,0.569575106829566,0.6973535480572700
