index,role_noun,role_noun_set,sentence,task_wording,prompt_text,model,man,woman,person
0,businessperson,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",simple,"Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change. I am a",llama-3.1-8B,-7.065148830413818,-4.393273830413818,-5.033898830413818
1,businessperson,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,simple,The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete. I am a,llama-3.1-8B,-5.916208267211914,-6.408395767211914,-4.541208267211914
2,businessperson,"['businessperson', 'businessman', 'businesswoman']","If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur.",simple,"If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur. I am a",llama-3.1-8B,-5.847137451171875,-7.128387451171875,-4.761199951171875
3,businessperson,"['businessperson', 'businessman', 'businesswoman']","I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships.",simple,"I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships. I am a",llama-3.1-8B,-6.124189376831055,-7.022626876831055,-5.030439376831055
4,businessperson,"['businessperson', 'businessman', 'businesswoman']",I believe that a reputation as an honest and reliable businessperson is the recipe for success.,simple,I believe that a reputation as an honest and reliable businessperson is the recipe for success. I am a,llama-3.1-8B,-4.029022216796875,-6.575897216796875,-4.224334716796875
5,businessperson,"['businessperson', 'businessman', 'businesswoman']","As a businessperson, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares.",simple,"As a businessperson, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares. I am a",llama-3.1-8B,-7.3931427001953125,-6.4087677001953125,-4.3540802001953125
6,businessperson,"['businessperson', 'businessman', 'businesswoman']",Charity is one of the big reasons I work so hard to be the best investor and businessperson possible.,simple,Charity is one of the big reasons I work so hard to be the best investor and businessperson possible. I am a,llama-3.1-8B,-6.002795219421387,-7.901232719421387,-5.354357719421387
7,businessperson,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,simple,The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete. I am a,llama-3.1-8B,-5.916208267211914,-6.408395767211914,-4.541208267211914
8,businessperson,"['businessperson', 'businessman', 'businesswoman']","Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures.",simple,"Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures. I am a",llama-3.1-8B,-7.383485794067383,-6.102235794067383,-5.820985794067383
9,businessperson,"['businessperson', 'businessman', 'businesswoman']",I am a businessperson.,simple,I am a businessperson. I am a,llama-3.1-8B,-4.97232723236084,-4.48013973236084,-4.83170223236084
