role_noun,role_noun_set,sentence,sentence_format,task_wording,prompt_text,model,man,woman,person,feminine_score,genderedness_score
alderperson,"['alderperson', 'alderwoman', 'alderman']","To my surprise, after the elections in 1994, I immediately became an alderperson for Education, Employment, Social Affairs and Minority Policy.","To my surprise, after the elections in 1994, I immediately became an [ROLE NOUN] for Education, Employment, Social Affairs and Minority Policy.",simple,"To my surprise, after the elections in 1994, I immediately became an alderperson for Education, Employment, Social Affairs and Minority Policy. I am a",llama-3.1-8B,-5.626684188842773,-3.673559188842773,-4.376684188842773,0.8757869916479467,0.6975709190696888
alderperson,"['alderperson', 'alderwoman', 'alderman']",I was elected to be the alderperson of the 3rd district in Glascoff City in Comery County.,I was elected to be the [ROLE NOUN] of the 3rd district in Glascoff City in Comery County.,simple,I was elected to be the alderperson of the 3rd district in Glascoff City in Comery County. I am a,llama-3.1-8B,-5.315884590148926,-5.722134590148926,-5.800259590148926,0.3998116407397951,0.7300520639131978
alderperson,"['alderperson', 'alderwoman', 'alderman']",That is why I have believe I have much to give as MAYOR and alderperson/COUNCILLOR of the City of Glenorchy.,That is why I have believe I have much to give as MAYOR and [ROLE NOUN]/COUNCILLOR of the City of Glenorchy.,simple,That is why I have believe I have much to give as MAYOR and alderperson/COUNCILLOR of the City of Glenorchy. I am a,llama-3.1-8B,-3.9916255474090576,-4.210375785827637,-3.0931880474090576,0.44552947614232413,0.4234330944891003
alderperson,"['alderperson', 'alderwoman', 'alderman']","A few years later, I was elected alderperson in that community.","A few years later, I was elected [ROLE NOUN] in that community.",simple,"A few years later, I was elected alderperson in that community. I am a",llama-3.1-8B,-5.92853307723999,-4.71759557723999,-4.82697057723999,0.7704647868335476,0.591491919425387
alderperson,"['alderperson', 'alderwoman', 'alderman']",I served as an alderperson in the 1980s and narrowly lost a mayoral race in 1989.,I served as an [ROLE NOUN] in the 1980s and narrowly lost a mayoral race in 1989.,simple,I served as an alderperson in the 1980s and narrowly lost a mayoral race in 1989. I am a,llama-3.1-8B,-7.417963981628418,-7.621088981628418,-6.699213981628418,0.44939263446475963,0.4695336167038991
alderperson,"['alderperson', 'alderwoman', 'alderman']","I’m a graduate of the Australian Institute of Company Directors, a board member, and a former alderperson, so I understand the challenges of communicating to decision-makers.","I’m a graduate of the Australian Institute of Company Directors, a board member, and a former [ROLE NOUN], so I understand the challenges of communicating to decision-makers.",simple,"I’m a graduate of the Australian Institute of Company Directors, a board member, and a former alderperson, so I understand the challenges of communicating to decision-makers. I am a",llama-3.1-8B,-8.077508926391602,-6.265008926391602,-6.405633926391602,0.8596637505099168,0.5724462795853179
anchor,"['anchor', 'anchorwoman', 'anchorman']","I was an anchor at CNN for 18 years, now podcaster.","I was an [ROLE NOUN] at CNN for 18 years, now podcaster.",simple,"I was an anchor at CNN for 18 years, now podcaster. I am a",llama-3.1-8B,-6.549408912658691,-5.502533912658691,-6.502533912658691,0.7401743620390163,0.7859812814536702
anchor,"['anchor', 'anchorwoman', 'anchorman']",This is how I moved from working as a prime-time news anchor in the Middle East... to becoming a Meditation and Mindset coach.,This is how I moved from working as a prime-time news [ROLE NOUN] in the Middle East... to becoming a Meditation and Mindset coach.,simple,This is how I moved from working as a prime-time news anchor in the Middle East... to becoming a Meditation and Mindset coach. I am a,llama-3.1-8B,-7.008440017700195,-4.711565017700195,-5.867815017700195,0.9086178969328286,0.7776598201321976
anchor,"['anchor', 'anchorwoman', 'anchorman']","With my Bachelor of Arts degree, I plan to improve the diversity in media as a news anchor and, ultimately, an executive producer.","With my Bachelor of Arts degree, I plan to improve the diversity in media as a news [ROLE NOUN] and, ultimately, an executive producer.",simple,"With my Bachelor of Arts degree, I plan to improve the diversity in media as a news anchor and, ultimately, an executive producer. I am a",llama-3.1-8B,-7.893928050994873,-4.550178050994873,-4.815803050994873,0.9658995742876885,0.5745208419620745
anchor,"['anchor', 'anchorwoman', 'anchorman']","Prior to Milwaukee, I was a weekend anchor and multi-media journalist in Des Moines, Iowa at the ABC affiliate.","Prior to Milwaukee, I was a weekend [ROLE NOUN] and multi-media journalist in Des Moines, Iowa at the ABC affiliate.",simple,"Prior to Milwaukee, I was a weekend anchor and multi-media journalist in Des Moines, Iowa at the ABC affiliate. I am a",llama-3.1-8B,-10.594527244567873,-10.114058494567873,-10.235152244567873,0.6178585571447409,0.6462485123788648
anchor,"['anchor', 'anchorwoman', 'anchorman']",And also I worked as anchor of health show in KATH FM 97.9 for six months sponsored by Kwality Biscuits Pvt.Ltd.,And also I worked as [ROLE NOUN] of health show in KATH FM 97.9 for six months sponsored by Kwality Biscuits Pvt.Ltd.,simple,And also I worked as anchor of health show in KATH FM 97.9 for six months sponsored by Kwality Biscuits Pvt.Ltd. I am a,llama-3.1-8B,-7.166005611419678,-7.345693111419678,-4.830068111419678,0.4551986043017219,0.15076628975043624
anchor,"['anchor', 'anchorwoman', 'anchorman']","Currently, I work as a news writer and anchor for NBC News Radio and I’m an on-air personality and producer at Majic 102.3FM and 92.7 FM.","Currently, I work as a news writer and [ROLE NOUN] for NBC News Radio and I’m an on-air personality and producer at Majic 102.3FM and 92.7 FM.",simple,"Currently, I work as a news writer and anchor for NBC News Radio and I’m an on-air personality and producer at Majic 102.3FM and 92.7 FM. I am a",llama-3.1-8B,-8.765806198120117,-6.625180721282959,-8.023618698120117,0.8947895081869655,0.8190026236674153
anchor,"['anchor', 'anchorwoman', 'anchorman']","Shortly after graduation, I was hired as a television anchor in a small Missouri college town.","Shortly after graduation, I was hired as a television [ROLE NOUN] in a small Missouri college town.",simple,"Shortly after graduation, I was hired as a television anchor in a small Missouri college town. I am a",llama-3.1-8B,-5.952496528625488,-4.663434028625488,-4.796246528625488,0.7839884653055252,0.5929498602450544
anchor,"['anchor', 'anchorwoman', 'anchorman']","The anchor ambition faded quickly, but I did eventually get a degree in journalism at the prestigious School for Journalism in Utrecht.","The [ROLE NOUN] ambition faded quickly, but I did eventually get a degree in journalism at the prestigious School for Journalism in Utrecht.",simple,"The anchor ambition faded quickly, but I did eventually get a degree in journalism at the prestigious School for Journalism in Utrecht. I am a",llama-3.1-8B,-5.886234760284424,-6.604984760284424,-7.229984760284424,0.3276683008207139,0.8507827436389042
