index,role_noun,role_noun_set,sentence,task_wording,prompt_text
<<<<<<< HEAD
0,businessperson,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",simple,"Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change. I am a"
1,businessperson,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,simple,The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete. I am a
2,businessperson,"['businessperson', 'businessman', 'businesswoman']","If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur.",simple,"If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur. I am a"
3,businessperson,"['businessperson', 'businessman', 'businesswoman']","I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships.",simple,"I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships. I am a"
4,businessperson,"['businessperson', 'businessman', 'businesswoman']",I believe that a reputation as an honest and reliable businessperson is the recipe for success.,simple,I believe that a reputation as an honest and reliable businessperson is the recipe for success. I am a
5,businessperson,"['businessperson', 'businessman', 'businesswoman']","As a businessperson, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares.",simple,"As a businessperson, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares. I am a"
6,businessperson,"['businessperson', 'businessman', 'businesswoman']",Charity is one of the big reasons I work so hard to be the best investor and businessperson possible.,simple,Charity is one of the big reasons I work so hard to be the best investor and businessperson possible. I am a
7,businessperson,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,simple,The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete. I am a
8,businessperson,"['businessperson', 'businessman', 'businesswoman']","Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures.",simple,"Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures. I am a"
9,businessperson,"['businessperson', 'businessman', 'businesswoman']",I am a businessperson.,simple,I am a businessperson. I am a
10,businessperson,"['businessperson', 'businessman', 'businesswoman']",I was the only expatriate American businessperson in the country and with no television and limited radio; it was quite a learning experience.,simple,I was the only expatriate American businessperson in the country and with no television and limited radio; it was quite a learning experience. I am a
11,businessperson,"['businessperson', 'businessman', 'businesswoman']","I am a businessperson, more like a scholar.",simple,"I am a businessperson, more like a scholar. I am a"
12,businessperson,"['businessperson', 'businessman', 'businesswoman']",A businessperson has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public.,simple,A businessperson has to deal with customers; I was a bookish introvert and didn't relish being involved that much with the public. I am a
13,businessperson,"['businessperson', 'businessman', 'businesswoman']","I am passionate about people, and as a businessperson I show my passion by giving my customers exceptional service.",simple,"I am passionate about people, and as a businessperson I show my passion by giving my customers exceptional service. I am a"
14,businessperson,"['businessperson', 'businessman', 'businesswoman']","I am a businessperson, entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant.",simple,"I am a businessperson, entrepreneur, investment expert, business mentor, globetrotter, networking tour organizer, and participant. I am a"
15,businessperson,"['businessperson', 'businessman', 'businesswoman']","I did this while maintaining a career as a businessperson and educator, which has given me a great understanding of people from all walks of life and professions.",simple,"I did this while maintaining a career as a businessperson and educator, which has given me a great understanding of people from all walks of life and professions. I am a"
16,businessperson,"['businessperson', 'businessman', 'businesswoman']",I am a successful businessperson having run residential and commercial real estate brokerages and a mortgage brokerage.,simple,I am a successful businessperson having run residential and commercial real estate brokerages and a mortgage brokerage. I am a
