index,role_noun,role_noun_set,sentence,sentence_format,task_wording,prompt_text,model,man,woman,person
0,alderperson,"['alderperson', 'alderwoman', 'alderman']","To my surprise, after the elections in 1994, I immediately became an alderperson for Education, Employment, Social Affairs and Minority Policy.","To my surprise, after the elections in 1994, I immediately became an [ROLE NOUN] for Education, Employment, Social Affairs and Minority Policy.",simple,"To my surprise, after the elections in 1994, I immediately became an alderperson for Education, Employment, Social Affairs and Minority Policy. I am a",llama-3.1-8B,-5.626684188842773,-3.6735591888427734,-4.376684188842773
1,alderperson,"['alderperson', 'alderwoman', 'alderman']",I was elected to be the alderperson of the 3rd district in Glascoff City in Comery County.,I was elected to be the [ROLE NOUN] of the 3rd district in Glascoff City in Comery County.,simple,I was elected to be the alderperson of the 3rd district in Glascoff City in Comery County. I am a,llama-3.1-8B,-5.315884590148926,-5.722134590148926,-5.800259590148926
2,alderperson,"['alderperson', 'alderwoman', 'alderman']",That is why I have believe I have much to give as MAYOR and alderperson/COUNCILLOR of the City of Glenorchy.,That is why I have believe I have much to give as MAYOR and [ROLE NOUN]/COUNCILLOR of the City of Glenorchy.,simple,That is why I have believe I have much to give as MAYOR and alderperson/COUNCILLOR of the City of Glenorchy. I am a,llama-3.1-8B,-3.9916255474090576,-4.210375785827637,-3.0931880474090576
3,alderperson,"['alderperson', 'alderwoman', 'alderman']","A few years later, I was elected alderperson in that community.","A few years later, I was elected [ROLE NOUN] in that community.",simple,"A few years later, I was elected alderperson in that community. I am a",llama-3.1-8B,-5.92853307723999,-4.71759557723999,-4.82697057723999
4,alderperson,"['alderperson', 'alderwoman', 'alderman']",I served as an alderperson in the 1980s and narrowly lost a mayoral race in 1989.,I served as an [ROLE NOUN] in the 1980s and narrowly lost a mayoral race in 1989.,simple,I served as an alderperson in the 1980s and narrowly lost a mayoral race in 1989. I am a,llama-3.1-8B,-7.417963981628418,-7.621088981628418,-6.699213981628418
5,alderperson,"['alderperson', 'alderwoman', 'alderman']","I’m a graduate of the Australian Institute of Company Directors, a board member, and a former alderperson, so I understand the challenges of communicating to decision-makers.","I’m a graduate of the Australian Institute of Company Directors, a board member, and a former [ROLE NOUN], so I understand the challenges of communicating to decision-makers.",simple,"I’m a graduate of the Australian Institute of Company Directors, a board member, and a former alderperson, so I understand the challenges of communicating to decision-makers. I am a",llama-3.1-8B,-8.077508926391602,-6.265008926391602,-6.405633926391602
6,anchor,"['anchor', 'anchorwoman', 'anchorman']","I was an anchor at CNN for 18 years, now podcaster.","I was an [ROLE NOUN] at CNN for 18 years, now podcaster.",simple,"I was an anchor at CNN for 18 years, now podcaster. I am a",llama-3.1-8B,-6.549408912658691,-5.502533912658691,-6.502533912658691
7,anchor,"['anchor', 'anchorwoman', 'anchorman']",This is how I moved from working as a prime-time news anchor in the Middle East... to becoming a Meditation and Mindset coach.,This is how I moved from working as a prime-time news [ROLE NOUN] in the Middle East... to becoming a Meditation and Mindset coach.,simple,This is how I moved from working as a prime-time news anchor in the Middle East... to becoming a Meditation and Mindset coach. I am a,llama-3.1-8B,-7.008440017700195,-4.711565017700195,-5.867815017700195
8,anchor,"['anchor', 'anchorwoman', 'anchorman']","With my Bachelor of Arts degree, I plan to improve the diversity in media as a news anchor and, ultimately, an executive producer.","With my Bachelor of Arts degree, I plan to improve the diversity in media as a news [ROLE NOUN] and, ultimately, an executive producer.",simple,"With my Bachelor of Arts degree, I plan to improve the diversity in media as a news anchor and, ultimately, an executive producer. I am a",llama-3.1-8B,-7.893928050994873,-4.550178050994873,-4.815803050994873
9,anchor,"['anchor', 'anchorwoman', 'anchorman']","Prior to Milwaukee, I was a weekend anchor and multi-media journalist in Des Moines, Iowa at the ABC affiliate.","Prior to Milwaukee, I was a weekend [ROLE NOUN] and multi-media journalist in Des Moines, Iowa at the ABC affiliate.",simple,"Prior to Milwaukee, I was a weekend anchor and multi-media journalist in Des Moines, Iowa at the ABC affiliate. I am a",llama-3.1-8B,-10.594527244567871,-10.114058494567871,-10.235152244567871
