index,stem,words,total_frequency
0,hu,['human'],7143
1,sha,['shaman'],1082
2,front ,['front man'],658
3,ger,['german'],364
4,infantry,['infantryman'],317
5,line,['lineman'],292
6,city council,['city councilman'],199
7,commercial fisher,['commercial fisherman'],181
8,sea,['seaman'],173
9,shop fore,['shop foreman'],168
10,oklaho,['oklahoman'],161
11,hospital corps,['hospital corpsman'],156
12,land,['landman'],141
13,patrol,['patrolman'],131
14,rifle,['rifleman'],95
15,skilled crafts,['skilled craftsman'],90
16,bats,['batsman'],87
17,test ,['test man'],79
18,crew,['crewman'],78
19,handy ,['handy man'],75
20,grounds,['groundsman'],65
21,defense,['defenseman'],65
22,architectural drafts,['architectural draftsman'],60
23,idea ,['idea man'],56
24,brake,['brakeman'],56
25,mail,['mailman'],50
26,medicine ,['medicine man'],48
27,press,['pressman'],47
28,general fore,['general foreman'],45
29,check air,['check airman'],45
30,woods,['woodsman'],43
31,bell,['bellman'],40
32,construction fore,['construction foreman'],36
33,merchant sea,['merchant seaman'],34
34,radio,['radioman'],34
35,bail bonds,['bail bondsman'],32
36,repair ,['repair man'],32
37,milk,['milkman'],31
38,ro,['roman'],31
39,spearfisher,['spearfisherman'],31
40,hunts,['huntsman'],31
41,middle,['middleman'],29
42,ma,['maman'],29
43,superhu,['superhuman'],28
44,midship,['midshipman'],28
45,yeo,['yeoman'],27
46,for,['forman'],27
47,longshore,['longshoreman'],25
48,wood crafts,['wood craftsman'],25
49,tar ,['tar man'],24
50,defence,['defenceman'],24
51,boat,['boatman'],23
52,leather crafts,['leather craftsman'],23
53,store,['storeman'],22
54,axe,['axeman'],21
55,bass,['bassman'],20
56,chari,['chariman'],19
57,door to door sales,['door to door salesman'],18
58,sax,['saxman'],18
59,bush,['bushman'],18
60,lines,['linesman'],18
61,artillery,['artilleryman'],18
62,dairy,['dairyman'],17
63,switch,['switchman'],17
64,design drafts,['design draftsman'],17
65,body ,['body man'],17
66,jazz,['jazzman'],17
67,television camera,['television cameraman'],17
68,crew fore,['crew foreman'],16
