role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessman or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","Becoming a businesswoman or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessman were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businesswoman were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","If you become our client, you will get the benefit of my thoughts as a businessperson and entrepreneur.","If you become our client, you will get the benefit of my thoughts as a [ROLE NOUN] and entrepreneur."
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","If you become our client, you will get the benefit of my thoughts as a businessman and entrepreneur.","If you become our client, you will get the benefit of my thoughts as a [ROLE NOUN] and entrepreneur."
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","If you become our client, you will get the benefit of my thoughts as a businesswoman and entrepreneur.","If you become our client, you will get the benefit of my thoughts as a [ROLE NOUN] and entrepreneur."
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships.","I am a skilled presenter, negotiator, and [ROLE NOUN], and adept at forging solid relationships."
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","I am a skilled presenter, negotiator, and businessman, and adept at forging solid relationships.","I am a skilled presenter, negotiator, and [ROLE NOUN], and adept at forging solid relationships."
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","I am a skilled presenter, negotiator, and businesswoman, and adept at forging solid relationships.","I am a skilled presenter, negotiator, and [ROLE NOUN], and adept at forging solid relationships."
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']",I believe that a reputation as an honest and reliable businessperson is the recipe for success.,I believe that a reputation as an honest and reliable [ROLE NOUN] is the recipe for success.
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",I believe that a reputation as an honest and reliable businessman is the recipe for success.,I believe that a reputation as an honest and reliable [ROLE NOUN] is the recipe for success.
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",I believe that a reputation as an honest and reliable businesswoman is the recipe for success.,I believe that a reputation as an honest and reliable [ROLE NOUN] is the recipe for success.
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","As a businessperson, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares.","As a [ROLE NOUN], we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares."
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","As a businessman, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares.","As a [ROLE NOUN], we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares."
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","As a businesswoman, we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares.","As a [ROLE NOUN], we all are aware of the metrics that companies assess us with on social media, such as comments, likes, shares."
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']",Charity is one of the big reasons I work so hard to be the best investor and businessperson possible.,Charity is one of the big reasons I work so hard to be the best investor and [ROLE NOUN] possible.
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",Charity is one of the big reasons I work so hard to be the best investor and businessman possible.,Charity is one of the big reasons I work so hard to be the best investor and [ROLE NOUN] possible.
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",Charity is one of the big reasons I work so hard to be the best investor and businesswoman possible.,Charity is one of the big reasons I work so hard to be the best investor and [ROLE NOUN] possible.
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessperson were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businessman were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",The same exact patterns that made me a great businesswoman were the same patterns that made me a great athlete.,The same exact patterns that made me a great [ROLE NOUN] were the same patterns that made me a great athlete.
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Still pursuing the challenge of being an artist and businessperson, I continue to stretch my creative side for new adventures.","Still pursuing the challenge of being an artist and [ROLE NOUN], I continue to stretch my creative side for new adventures."
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","Still pursuing the challenge of being an artist and businessman, I continue to stretch my creative side for new adventures.","Still pursuing the challenge of being an artist and [ROLE NOUN], I continue to stretch my creative side for new adventures."
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","Still pursuing the challenge of being an artist and businesswoman, I continue to stretch my creative side for new adventures.","Still pursuing the challenge of being an artist and [ROLE NOUN], I continue to stretch my creative side for new adventures."
businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']",I am a businessperson.,I am a [ROLE NOUN].
businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",I am a businessman.,I am a [ROLE NOUN].
businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']",I am a businesswoman.,I am a [ROLE NOUN].
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']",I was the only expatriate American businessperson in the country and with no television and limited radio; it was quite a learning experience.,I was the only expatriate American [ROLE NOUN] in the country and with no television and limited radio; it was quite a learning experience.
businessman,masculine,masculine,False,"['businessperson', 'businessman', 'businesswoman']",I was the only expatriate American businessman in the country and with no television and limited radio; it was quite a learning experience.,I was the only expatriate American [ROLE NOUN] in the country and with no television and limited radio; it was quite a learning experience.
businesswoman,feminine,masculine,True,"['businessperson', 'businessman', 'businesswoman']",I was the only expatriate American businesswoman in the country and with no television and limited radio; it was quite a learning experience.,I was the only expatriate American [ROLE NOUN] in the country and with no television and limited radio; it was quite a learning experience.
businessperson,neutral,masculine,True,"['businessperson', 'businessman', 'businesswoman']","I am a businessperson, more like a scholar.","I am a [ROLE NOUN], more like a scholar."
